Price,Year,Home_size,Parcel_size,Beds,Age,Pool,X_coord,Y_coord,cbd_dist
68.264,2004,814,2265,2,17,0,462865.0,1532434,21933.23
68.285,2001,1008,8247,3,42,0,555124.9,1538529,6583.43
68.413,2004,1723,62881,3,49,0,497196.9,1566166,15675.0
68.427,2000,1534,7762,3,21,0,515328.2,1556556,9772.53
68.445,2001,958,5188,2,10,0,503209.3,1546612,10733.09
68.519,2002,1000,6757,3,42,0,513819.6,1499411,11585.43
68.55,2001,1025,9029,3,42,0,527434.6,1554359,7437.71
68.572,2000,1349,11153,3,26,1,567204.6,1513152,11276.88
68.595,2004,1482,7738,4,31,0,514801.5,1526473,6265.04
68.605,2002,832,6587,2,18,0,490770.0,1584196,21024.62
68.628,2001,810,8141,2,42,0,523531.3,1563551,10471.13
68.675,2004,984,8129,2,39,0,520079.1,1522303,5233.7
68.719,2004,682,7512,2,50,0,522721.5,1529983,3706.95
68.788,2000,1000,6417,2,31,0,512252.8,1498567,12066.36
68.83,2002,1244,6614,3,28,0,514242.7,1518739,7318.08
68.877,2000,1081,8182,3,21,0,512992.8,1544482,7806.19
68.904,2002,1216,1999,3,15,0,462668.3,1532317,21992.53
68.939,2001,936,7754,3,39,0,522426.2,1528285,3877.26
68.991,2000,975,6255,2,12,0,488905.7,1583995,21345.55
69.023,2002,1008,7333,2,19,0,487528.1,1547557,15262.16
69.042,2001,1267,8083,3,27,0,474982.8,1588903,25353.75
69.057,2004,887,6755,3,39,0,530553.5,1520452,3496.42
69.08,2003,1296,16729,3,42,0,489651.0,1612962,28491.11
69.107,2000,969,11725,2,32,0,559514.4,1529528,7534.5
69.18,2001,1348,6645,3,32,0,517709.0,1519935,6229.58
69.29,2000,1100,6865,3,1,0,519678.7,1560091,9968.7
69.32,2000,1098,8182,2,42,0,508779.8,1536643,8117.16
69.46,2000,894,9973,2,46,0,554845.3,1527869,6175.45
69.502,2000,1106,8254,3,40,0,506105.0,1531718,8756.4
69.585,2002,1143,9088,2,43,0,561862.1,1523536,8550.85
69.628,2004,912,6955,2,45,0,505326.0,1531243,8991.82
69.749,2001,1141,9383,3,15,0,575037.1,1545851,13047.83
69.875,2000,1644,9375,4,29,0,564736.6,1523082,9432.17
69.982,2003,1374,11335,3,38,0,510575.4,1536342,7563.0
70.11,2000,883,7651,2,15,0,526639.4,1520176,4160.9
70.113,2001,1025,7116,3,16,0,596534.8,1545117,19278.48
70.157,2005,1092,10125,3,46,0,523843.2,1506574,8188.68
70.211,2000,1304,6634,3,39,0,521248.9,1522388,4917.9
70.331,2003,1031,1370,2,29,0,558216.8,1524363,7413.54
70.374,2000,1508,10991,3,31,0,504644.4,1540371,9623.55
70.395,2001,880,15608,3,41,0,508899.6,1551052,9971.11
70.471,2002,1766,15834,2,37,0,524647.8,1506920,7994.14
70.495,2000,1560,19875,3,36,0,466831.8,1537884,20823.4
70.508,2000,1080,12104,3,18,0,536071.1,1505667,7757.72
70.565,2001,1234,4575,2,18,0,516966.6,1485806,14835.63
70.648,2003,891,9113,2,46,0,555872.3,1527120,6523.14
70.694,2001,979,9179,3,21,0,522668.6,1565566,11137.57
70.709,2002,1140,6353,2,20,0,509711.0,1541394,8273.54
70.873,2000,1096,2150,2,11,0,522908.8,1481110,15658.66
70.954,2002,957,2947,2,20,0,517268.4,1485741,14820.35
71.212,2001,1404,10183,2,41,0,533650.7,1549151,5512.53
71.222,2001,851,8005,2,37,0,510676.9,1535528,7484.05
71.299,2000,1738,12813,4,43,0,529254.8,1517578,4456.51
71.422,2004,862,7185,2,32,0,469787.7,1536938,19899.83
71.545,2002,1080,7875,3,30,0,506730.3,1548738,10108.12
71.657,2000,1084,7110,2,41,0,556372.8,1526185,6730.62
71.658,2002,1250,8011,3,31,0,511638.9,1552128,9540.46
71.715,2000,1127,6857,3,10,0,502833.4,1546578,10825.23
71.754,2002,960,6988,3,22,0,505430.4,1532091,8964.14
71.822,2002,1132,3237,3,16,0,576014.9,1539254,12794.49
71.852,2001,1058,10906,3,36,0,530484.8,1504359,8254.2
71.871,2000,1032,7918,3,1,0,503919.9,1578586,17265.74
71.933,2000,1163,5858,3,0,0,462582.1,1530411,22016.62
71.941,2000,975,9450,3,19,0,564573.1,1523237,9371.92
71.95,2001,1213,6874,3,3,0,597507.5,1539260,19256.95
71.987,2002,1225,6425,3,44,0,512559.6,1497398,12308.93
71.991,2002,1474,5811,3,8,0,496472.6,1530469,11690.57
72.016,2000,1066,7642,3,18,0,486482.6,1548927,15702.95
72.037,2003,880,8042,2,33,0,508777.3,1535876,8072.51
72.103,2001,1435,8247,3,41,0,529856.5,1499440,9764.71
72.152,2002,1066,6572,2,19,0,549433.2,1517957,5941.29
72.194,2003,1258,6817,3,18,0,511340.8,1524483,7437.33
72.217,2000,1944,6997,3,28,0,505274.5,1555415,11663.24
72.306,2002,1144,7260,3,19,0,490419.5,1584296,21116.52
72.381,2000,1286,9010,3,28,0,513709.3,1547183,8090.72
72.394,2000,1631,11110,3,41,0,534253.8,1502422,8739.26
72.402,2002,770,10668,2,20,0,515972.5,1560785,10718.92
72.413,2004,1051,8124,3,44,0,487292.8,1547482,15322.49
72.437,2000,1107,8250,3,31,0,561379.6,1524976,8299.93
72.444,2002,1359,8542,3,44,0,508761.4,1537875,8208.97
72.536,2000,1285,4748,3,19,0,510572.1,1541864,8088.06
72.582,2005,1022,4831,2,18,0,576167.4,1538983,12820.59
72.653,2000,1032,4569,3,13,0,555077.6,1521871,6778.01
72.696,2001,917,5458,2,16,0,496475.6,1530750,11688.21
72.754,2005,864,7127,3,24,0,596139.8,1545115,19160.99
72.78,2002,976,8970,3,41,0,563703.9,1527945,8848.12
72.783,2005,1216,1963,3,15,0,462973.4,1531925,21897.86
72.823,2001,1092,6784,3,30,0,567518.9,1511592,11596.92
72.834,2000,1268,7371,2,19,0,515099.7,1483224,15777.9
72.865,2002,1220,7206,2,32,0,536239.0,1520806,3164.72
72.87,2000,1000,6121,2,31,0,513139.6,1498196,12008.48
72.973,2004,900,8781,3,35,0,527245.9,1515893,5177.91
72.977,2000,1255,6325,3,19,0,573886.9,1537869,12076.1
72.984,2003,924,9356,2,36,0,502114.3,1555774,12487.63
73.035,2001,672,7500,2,46,0,534917.6,1542989,3623.26
73.163,2001,699,8974,2,53,0,543824.7,1528057,2891.17
73.207,2000,1276,9583,3,42,0,509210.7,1547773,9315.73
73.253,2004,720,5256,2,64,0,540566.8,1550753,6238.39
73.308,2001,1218,6707,3,27,0,514899.6,1518977,7109.23
73.309,2003,1008,6863,3,18,0,482365.6,1559844,18229.72
73.33,2000,1088,6860,3,10,0,514509.8,1561599,11168.34
73.361,2000,1326,7500,3,28,0,533734.6,1500625,9291.09
73.495,2004,1008,4601,3,14,0,510639.9,1525972,7536.15
73.608,2001,955,8237,3,42,0,486152.7,1544615,15394.97
73.635,2001,912,7276,3,17,0,505433.1,1531495,8959.9
73.648,2000,1092,7498,3,29,0,498372.1,1545997,12000.39
73.723,2002,1744,6614,4,29,0,514905.8,1519265,7062.37
73.725,2001,1724,15443,2,43,0,563080.1,1508349,11050.12
73.823,2001,1056,7000,3,26,0,504974.6,1529935,9105.42
73.837,2002,1106,1845,3,12,0,539257.2,1471190,18303.22
73.868,2000,1064,9992,3,31,0,518008.2,1504036,9709.86
73.932,2003,1020,6506,3,32,0,596315.8,1546053,19278.83
73.97,2000,1096,1800,2,12,0,522759.7,1481593,15526.23
74.008,2001,868,7320,2,43,0,527604.4,1516560,4947.39
74.122,2000,1173,8539,3,0,0,491041.1,1571177,18088.82
74.162,2002,1236,7909,3,22,0,525682.5,1531553,2792.6
74.169,2001,972,1800,2,12,0,522739.8,1481273,15622.41
74.211,2000,1173,8544,3,0,0,490979.1,1571176,18102.61
74.223,2000,1176,4050,2,12,0,522707.2,1481593,15530.01
74.249,2003,1142,7261,3,58,0,519290.4,1524985,5089.81
74.27,2004,950,7145,3,31,0,510242.6,1524291,7775.32
74.278,2000,1080,7963,3,35,0,522400.7,1558368,9132.36
74.323,2000,1248,8620,3,20,0,485084.9,1545793,15806.61
